date,nav,currency,source
1994-10-03,4.71,USD,anuefund_public
1994-10-04,4.71,USD,anuefund_public
1994-10-05,4.71,USD,anuefund_public
1994-10-06,4.71,USD,anuefund_public
1994-10-07,4.69,USD,anuefund_public
1994-10-10,4.68,USD,anuefund_public
1994-10-11,4.68,USD,anuefund_public
1994-10-12,4.71,USD,anuefund_public
1994-10-13,4.72,USD,anuefund_public
1994-10-14,4.72,USD,anuefund_public
1994-10-17,4.71,USD,anuefund_public
1994-10-18,4.75,USD,anuefund_public
1994-10-19,4.74,USD,anuefund_public
1994-10-20,4.74,USD,anuefund_public
1994-10-21,4.72,USD,anuefund_public
1994-10-24,4.71,USD,anuefund_public
1994-10-25,4.76,USD,anuefund_public
1994-10-26,4.73,USD,anuefund_public
1994-10-27,4.74,USD,anuefund_public
1994-10-28,4.76,USD,anuefund_public
1994-10-31,4.81,USD,anuefund_public
1994-11-01,4.81,USD,anuefund_public
1994-11-02,4.81,USD,anuefund_public
1994-11-03,4.8,USD,anuefund_public
1994-11-04,4.82,USD,anuefund_public
1994-11-07,4.85,USD,anuefund_public
1994-11-08,4.85,USD,anuefund_public
1994-11-09,4.88,USD,anuefund_public
1994-11-10,4.88,USD,anuefund_public
1994-11-11,4.86,USD,anuefund_public
1994-11-14,4.85,USD,anuefund_public
1994-11-15,4.86,USD,anuefund_public
1994-11-16,4.87,USD,anuefund_public
1994-11-17,4.87,USD,anuefund_public
1994-11-18,4.86,USD,anuefund_public
1994-11-21,4.84,USD,anuefund_public
1994-11-22,4.84,USD,anuefund_public
1994-11-23,4.76,USD,anuefund_public
1994-11-24,4.73,USD,anuefund_public
1994-11-25,4.74,USD,anuefund_public
1994-11-28,4.76,USD,anuefund_public
1994-11-29,4.79,USD,anuefund_public
1994-11-30,4.81,USD,anuefund_public
1994-12-01,4.78,USD,anuefund_public
1994-12-02,4.74,USD,anuefund_public
1994-12-05,4.74,USD,anuefund_public
1994-12-06,4.75,USD,anuefund_public
1994-12-07,4.72,USD,anuefund_public
1994-12-08,4.69,USD,anuefund_public
1994-12-09,4.64,USD,anuefund_public
1994-12-12,4.61,USD,anuefund_public
1994-12-13,4.62,USD,anuefund_public
1994-12-14,4.63,USD,anuefund_public
1994-12-15,4.67,USD,anuefund_public
1994-12-16,4.68,USD,anuefund_public
1994-12-19,4.69,USD,anuefund_public
1994-12-20,4.69,USD,anuefund_public
1994-12-21,4.68,USD,anuefund_public
1994-12-22,4.69,USD,anuefund_public
1994-12-23,4.69,USD,anuefund_public
1994-12-26,4.69,USD,anuefund_public
1994-12-27,4.69,USD,anuefund_public
1994-12-28,4.69,USD,anuefund_public
1994-12-29,4.69,USD,anuefund_public
1994-12-30,4.72,USD,anuefund_public
1995-01-02,4.72,USD,anuefund_public
1995-01-03,4.72,USD,anuefund_public
1995-01-04,4.68,USD,anuefund_public
1995-01-05,4.67,USD,anuefund_public
1995-01-06,4.67,USD,anuefund_public
1995-01-09,4.64,USD,anuefund_public
1995-01-10,4.62,USD,anuefund_public
1995-01-11,4.63,USD,anuefund_public
1995-01-12,4.65,USD,anuefund_public
1995-01-13,4.62,USD,anuefund_public
1995-01-16,4.64,USD,anuefund_public
1995-01-17,4.67,USD,anuefund_public
1995-01-18,4.69,USD,anuefund_public
1995-01-19,4.68,USD,anuefund_public
1995-01-20,4.65,USD,anuefund_public
1995-01-23,4.58,USD,anuefund_public
1995-01-24,4.54,USD,anuefund_public
1995-01-25,4.57,USD,anuefund_public
1995-01-26,4.59,USD,anuefund_public
1995-01-27,4.59,USD,anuefund_public
1995-01-30,4.57,USD,anuefund_public
1995-01-31,4.53,USD,anuefund_public
1995-02-01,4.54,USD,anuefund_public
1995-02-02,4.57,USD,anuefund_public
1995-02-03,4.58,USD,anuefund_public
1995-02-06,4.65,USD,anuefund_public
1995-02-07,4.68,USD,anuefund_public
1995-02-08,4.68,USD,anuefund_public
1995-02-09,4.7,USD,anuefund_public
1995-02-10,4.72,USD,anuefund_public
1995-02-13,4.74,USD,anuefund_public
1995-02-14,4.7,USD,anuefund_public
1995-02-15,4.72,USD,anuefund_public
1995-02-16,4.72,USD,anuefund_public
1995-02-17,4.75,USD,anuefund_public
1995-02-20,4.74,USD,anuefund_public
1995-02-21,4.74,USD,anuefund_public
1995-02-22,4.72,USD,anuefund_public
1995-02-23,4.72,USD,anuefund_public
1995-02-24,4.74,USD,anuefund_public
1995-02-27,4.74,USD,anuefund_public
1995-02-28,4.73,USD,anuefund_public
1995-03-01,4.75,USD,anuefund_public
1995-03-02,4.75,USD,anuefund_public
1995-03-03,4.75,USD,anuefund_public
1995-03-06,4.75,USD,anuefund_public
1995-03-07,4.74,USD,anuefund_public
1995-03-08,4.69,USD,anuefund_public
1995-03-09,4.7,USD,anuefund_public
1995-03-10,4.69,USD,anuefund_public
1995-03-13,4.72,USD,anuefund_public
1995-03-14,4.71,USD,anuefund_public
1995-03-15,4.76,USD,anuefund_public
1995-03-16,4.78,USD,anuefund_public
1995-03-17,4.82,USD,anuefund_public
1995-03-20,4.81,USD,anuefund_public
1995-03-21,4.81,USD,anuefund_public
1995-03-22,4.81,USD,anuefund_public
1995-03-23,4.79,USD,anuefund_public
1995-03-24,4.79,USD,anuefund_public
1995-03-27,4.82,USD,anuefund_public
1995-03-28,4.86,USD,anuefund_public
1995-03-29,4.87,USD,anuefund_public
1995-03-30,4.85,USD,anuefund_public
1995-03-31,4.86,USD,anuefund_public
1995-04-03,4.84,USD,anuefund_public
1995-04-04,4.82,USD,anuefund_public
1995-04-05,4.84,USD,anuefund_public
1995-04-06,4.84,USD,anuefund_public
1995-04-07,4.86,USD,anuefund_public
1995-04-10,4.85,USD,anuefund_public
1995-04-11,4.84,USD,anuefund_public
1995-04-12,4.84,USD,anuefund_public
1995-04-13,4.85,USD,anuefund_public
1995-04-14,4.85,USD,anuefund_public
1995-04-17,4.85,USD,anuefund_public
1995-04-18,4.85,USD,anuefund_public
1995-04-19,4.8,USD,anuefund_public
1995-04-20,4.77,USD,anuefund_public
1995-04-21,4.78,USD,anuefund_public
1995-04-24,4.79,USD,anuefund_public
1995-04-25,4.82,USD,anuefund_public
1995-04-26,4.82,USD,anuefund_public
1995-04-27,4.83,USD,anuefund_public
1995-04-28,4.86,USD,anuefund_public
1995-05-01,4.86,USD,anuefund_public
1995-05-02,4.86,USD,anuefund_public
1995-05-03,4.85,USD,anuefund_public
1995-05-04,4.89,USD,anuefund_public
1995-05-05,4.86,USD,anuefund_public
1995-05-08,4.86,USD,anuefund_public
1995-05-09,4.86,USD,anuefund_public
1995-05-10,4.9,USD,anuefund_public
1995-05-11,4.94,USD,anuefund_public
1995-05-12,4.94,USD,anuefund_public
1995-05-15,4.99,USD,anuefund_public
1995-05-16,5.03,USD,anuefund_public
1995-05-17,5.02,USD,anuefund_public
1995-05-18,5.01,USD,anuefund_public
1995-05-19,4.95,USD,anuefund_public
1995-05-22,4.95,USD,anuefund_public
1995-05-23,4.98,USD,anuefund_public
1995-05-24,5.01,USD,anuefund_public
1995-05-25,5.01,USD,anuefund_public
1995-05-26,5,USD,anuefund_public
1995-05-29,5,USD,anuefund_public
1995-05-30,5.09,USD,anuefund_public
1995-05-31,5.1,USD,anuefund_public
1995-06-01,5.12,USD,anuefund_public
1995-06-02,5.12,USD,anuefund_public
1995-06-05,5.12,USD,anuefund_public
1995-06-06,5.15,USD,anuefund_public
1995-06-07,5.14,USD,anuefund_public
1995-06-08,5.14,USD,anuefund_public
1995-06-09,5.15,USD,anuefund_public
1995-06-12,5.11,USD,anuefund_public
1995-06-13,5.13,USD,anuefund_public
1995-06-14,5.16,USD,anuefund_public
1995-06-15,5.16,USD,anuefund_public
1995-06-16,5.2,USD,anuefund_public
1995-06-19,5.23,USD,anuefund_public
1995-06-20,5.23,USD,anuefund_public
1995-06-21,5.22,USD,anuefund_public
1995-06-22,5.23,USD,anuefund_public
1995-06-23,5.23,USD,anuefund_public
1995-06-26,5.23,USD,anuefund_public
1995-06-27,5.18,USD,anuefund_public
1995-06-28,5.16,USD,anuefund_public
1995-06-29,5.18,USD,anuefund_public
1995-06-30,5.19,USD,anuefund_public
1995-07-03,5.22,USD,anuefund_public
1995-07-04,5.24,USD,anuefund_public
1995-07-05,5.25,USD,anuefund_public
1995-07-06,5.28,USD,anuefund_public
1995-07-07,5.33,USD,anuefund_public
1995-07-10,5.38,USD,anuefund_public
1995-07-11,5.38,USD,anuefund_public
1995-07-12,5.41,USD,anuefund_public
1995-07-13,5.54,USD,anuefund_public
1995-07-14,5.56,USD,anuefund_public
1995-07-17,5.6,USD,anuefund_public
1995-07-18,5.57,USD,anuefund_public
1995-07-19,5.54,USD,anuefund_public
1995-07-20,5.45,USD,anuefund_public
1995-07-21,5.49,USD,anuefund_public
1995-07-24,5.5,USD,anuefund_public
1995-07-25,5.52,USD,anuefund_public
1995-07-26,5.55,USD,anuefund_public
1995-07-27,5.58,USD,anuefund_public
1995-07-28,5.6,USD,anuefund_public
1995-07-31,5.6,USD,anuefund_public
1995-08-01,5.61,USD,anuefund_public
1995-08-02,5.63,USD,anuefund_public
1995-08-03,5.65,USD,anuefund_public
1995-08-04,5.69,USD,anuefund_public
1995-08-07,5.67,USD,anuefund_public
1995-08-08,5.68,USD,anuefund_public
1995-08-09,5.71,USD,anuefund_public
1995-08-10,5.72,USD,anuefund_public
1995-08-11,5.73,USD,anuefund_public
1995-08-14,5.7,USD,anuefund_public
1995-08-15,5.7,USD,anuefund_public
1995-08-16,5.68,USD,anuefund_public
1995-08-17,5.69,USD,anuefund_public
1995-08-18,5.72,USD,anuefund_public
1995-08-21,5.75,USD,anuefund_public
1995-08-22,5.74,USD,anuefund_public
1995-08-23,5.74,USD,anuefund_public
1995-08-24,5.76,USD,anuefund_public
1995-08-25,5.81,USD,anuefund_public
1995-08-28,5.81,USD,anuefund_public
1995-08-29,5.92,USD,anuefund_public
1995-08-30,5.88,USD,anuefund_public
1995-08-31,5.94,USD,anuefund_public
1995-09-01,5.93,USD,anuefund_public
1995-09-04,5.93,USD,anuefund_public
1995-09-05,5.94,USD,anuefund_public
1995-09-06,5.99,USD,anuefund_public
1995-09-07,6.02,USD,anuefund_public
1995-09-08,6,USD,anuefund_public
1995-09-11,6.02,USD,anuefund_public
1995-09-12,6.05,USD,anuefund_public
1995-09-13,6.08,USD,anuefund_public
1995-09-14,6.11,USD,anuefund_public
1995-09-15,6.13,USD,anuefund_public
1995-09-18,6.13,USD,anuefund_public
1995-09-19,6.09,USD,anuefund_public
1995-09-20,6.1,USD,anuefund_public
1995-09-21,6.09,USD,anuefund_public
1995-09-22,6.08,USD,anuefund_public
1995-09-25,6.06,USD,anuefund_public
1995-09-26,6.02,USD,anuefund_public
1995-09-27,6.01,USD,anuefund_public
1995-09-28,5.99,USD,anuefund_public
1995-09-29,6.08,USD,anuefund_public
1995-10-02,6.09,USD,anuefund_public
1995-10-03,6.11,USD,anuefund_public
1995-10-04,6.14,USD,anuefund_public
1995-10-05,6.07,USD,anuefund_public
1995-10-06,6.12,USD,anuefund_public
1995-10-09,6.1,USD,anuefund_public
1995-10-10,6.04,USD,anuefund_public
1995-10-11,6.03,USD,anuefund_public
1995-10-12,6.07,USD,anuefund_public
1995-10-13,6.1,USD,anuefund_public
1995-10-16,6.13,USD,anuefund_public
1995-10-17,6.11,USD,anuefund_public
1995-10-18,6.12,USD,anuefund_public
1995-10-19,6.14,USD,anuefund_public
1995-10-20,6.15,USD,anuefund_public
1995-10-23,6.13,USD,anuefund_public
1995-10-24,6.1,USD,anuefund_public
1995-10-25,6.07,USD,anuefund_public
1995-10-26,6.07,USD,anuefund_public
1995-10-27,5.98,USD,anuefund_public
1995-10-30,5.98,USD,anuefund_public
1995-10-31,6.05,USD,anuefund_public
1995-11-01,6.05,USD,anuefund_public
1995-11-02,6.05,USD,anuefund_public
1995-11-03,6.12,USD,anuefund_public
1995-11-06,6.17,USD,anuefund_public
1995-11-07,6.15,USD,anuefund_public
1995-11-08,6.12,USD,anuefund_public
1995-11-09,6.06,USD,anuefund_public
1995-11-10,6.04,USD,anuefund_public
1995-11-13,6.01,USD,anuefund_public
1995-11-14,5.98,USD,anuefund_public
1995-11-15,6,USD,anuefund_public
1995-11-16,5.99,USD,anuefund_public
1995-11-17,6.01,USD,anuefund_public
1995-11-20,6.06,USD,anuefund_public
1995-11-21,6.07,USD,anuefund_public
1995-11-22,6.05,USD,anuefund_public
1995-11-23,6.17,USD,anuefund_public
1995-11-24,6.21,USD,anuefund_public
1995-11-27,6.2,USD,anuefund_public
1995-11-28,6.23,USD,anuefund_public
1995-11-29,6.24,USD,anuefund_public
1995-11-30,6.29,USD,anuefund_public
1995-12-01,6.33,USD,anuefund_public
1995-12-04,6.35,USD,anuefund_public
1995-12-05,6.38,USD,anuefund_public
1995-12-06,6.37,USD,anuefund_public
1995-12-07,6.36,USD,anuefund_public
1995-12-08,6.34,USD,anuefund_public
1995-12-11,6.31,USD,anuefund_public
1995-12-12,6.36,USD,anuefund_public
1995-12-13,6.37,USD,anuefund_public
1995-12-14,6.36,USD,anuefund_public
1995-12-15,6.31,USD,anuefund_public
1995-12-18,6.28,USD,anuefund_public
1995-12-19,6.19,USD,anuefund_public
1995-12-20,6.23,USD,anuefund_public
1995-12-21,6.23,USD,anuefund_public
1995-12-22,6.26,USD,anuefund_public
1995-12-25,6.26,USD,anuefund_public
1995-12-26,6.26,USD,anuefund_public
1995-12-27,6.29,USD,anuefund_public
1995-12-28,6.32,USD,anuefund_public
1995-12-29,6.33,USD,anuefund_public
1996-01-01,6.33,USD,anuefund_public
1996-01-02,6.38,USD,anuefund_public
1996-01-03,6.44,USD,anuefund_public
1996-01-04,6.44,USD,anuefund_public
1996-01-05,6.46,USD,anuefund_public
1996-01-08,6.49,USD,anuefund_public
1996-01-09,6.46,USD,anuefund_public
1996-01-10,6.43,USD,anuefund_public
1996-01-11,6.39,USD,anuefund_public
1996-01-12,6.41,USD,anuefund_public
1996-01-15,6.4,USD,anuefund_public
1996-01-16,6.4,USD,anuefund_public
1996-01-17,6.4,USD,anuefund_public
1996-01-18,6.43,USD,anuefund_public
1996-01-19,6.48,USD,anuefund_public
1996-01-22,6.47,USD,anuefund_public
1996-01-23,6.45,USD,anuefund_public
1996-01-24,6.43,USD,anuefund_public
1996-01-25,6.48,USD,anuefund_public
1996-01-26,6.47,USD,anuefund_public
1996-01-29,6.46,USD,anuefund_public
1996-01-30,6.48,USD,anuefund_public
1996-01-31,6.56,USD,anuefund_public
1996-02-01,6.57,USD,anuefund_public
1996-02-02,6.62,USD,anuefund_public
1996-02-05,6.62,USD,anuefund_public
1996-02-06,6.63,USD,anuefund_public
1996-02-07,6.62,USD,anuefund_public
1996-02-08,6.51,USD,anuefund_public
1996-02-09,6.61,USD,anuefund_public
1996-02-12,6.61,USD,anuefund_public
1996-02-13,6.62,USD,anuefund_public
1996-02-14,6.64,USD,anuefund_public
1996-02-15,6.67,USD,anuefund_public
1996-02-16,6.7,USD,anuefund_public
1996-02-19,6.7,USD,anuefund_public
1996-02-20,6.69,USD,anuefund_public
1996-02-21,6.66,USD,anuefund_public
1996-02-22,6.72,USD,anuefund_public
1996-02-23,6.79,USD,anuefund_public
1996-02-26,6.78,USD,anuefund_public
1996-02-27,6.78,USD,anuefund_public
1996-02-28,6.78,USD,anuefund_public
1996-02-29,6.83,USD,anuefund_public
1996-03-01,6.81,USD,anuefund_public
1996-03-04,6.78,USD,anuefund_public
1996-03-05,6.8,USD,anuefund_public
1996-03-06,6.82,USD,anuefund_public
1996-03-07,6.8,USD,anuefund_public
1996-03-08,6.8,USD,anuefund_public
1996-03-11,6.6,USD,anuefund_public
1996-03-12,6.63,USD,anuefund_public
1996-03-13,6.6,USD,anuefund_public
1996-03-14,6.64,USD,anuefund_public
1996-03-15,6.67,USD,anuefund_public
1996-03-18,6.67,USD,anuefund_public
1996-03-19,6.73,USD,anuefund_public
1996-03-20,6.72,USD,anuefund_public
1996-03-21,6.73,USD,anuefund_public
1996-03-22,6.72,USD,anuefund_public
1996-03-25,6.75,USD,anuefund_public
1996-03-26,6.69,USD,anuefund_public
1996-03-27,6.68,USD,anuefund_public
1996-03-28,6.68,USD,anuefund_public
1996-03-29,6.72,USD,anuefund_public
1996-04-01,6.78,USD,anuefund_public
1996-04-02,6.81,USD,anuefund_public
1996-04-03,6.83,USD,anuefund_public
1996-04-04,6.88,USD,anuefund_public
1996-04-05,6.88,USD,anuefund_public
1996-04-08,6.88,USD,anuefund_public
1996-04-09,6.85,USD,anuefund_public
1996-04-10,6.89,USD,anuefund_public
1996-04-11,6.89,USD,anuefund_public
1996-04-12,6.89,USD,anuefund_public
1996-04-15,6.94,USD,anuefund_public
1996-04-16,6.99,USD,anuefund_public
1996-04-17,7.02,USD,anuefund_public
1996-04-18,7.03,USD,anuefund_public
1996-04-19,7.05,USD,anuefund_public
1996-04-22,7.07,USD,anuefund_public
1996-04-23,7.12,USD,anuefund_public
1996-04-24,7.15,USD,anuefund_public
1996-04-25,7.17,USD,anuefund_public
1996-04-26,7.24,USD,anuefund_public
1996-04-29,7.27,USD,anuefund_public
1996-04-30,7.26,USD,anuefund_public
1996-05-01,7.26,USD,anuefund_public
1996-05-02,7.2,USD,anuefund_public
1996-05-03,7.15,USD,anuefund_public
1996-05-06,7.15,USD,anuefund_public
1996-05-07,7.16,USD,anuefund_public
1996-05-08,7.14,USD,anuefund_public
1996-05-09,7.14,USD,anuefund_public
1996-05-10,7.09,USD,anuefund_public
1996-05-13,7.13,USD,anuefund_public
1996-05-14,7.15,USD,anuefund_public
1996-05-15,7.21,USD,anuefund_public
1996-05-16,7.21,USD,anuefund_public
1996-05-17,7.23,USD,anuefund_public
1996-05-20,7.25,USD,anuefund_public
1996-05-21,7.3,USD,anuefund_public
1996-05-22,7.31,USD,anuefund_public
1996-05-23,7.3,USD,anuefund_public
1996-05-24,7.26,USD,anuefund_public
1996-05-27,7.26,USD,anuefund_public
1996-05-28,7.28,USD,anuefund_public
1996-05-29,7.26,USD,anuefund_public
1996-05-30,7.23,USD,anuefund_public
1996-05-31,7.21,USD,anuefund_public
1996-06-03,7.26,USD,anuefund_public
1996-06-04,7.24,USD,anuefund_public
1996-06-05,7.28,USD,anuefund_public
1996-06-06,7.29,USD,anuefund_public
1996-06-07,7.23,USD,anuefund_public
1996-06-10,7.17,USD,anuefund_public
1996-06-11,7.17,USD,anuefund_public
1996-06-12,7.19,USD,anuefund_public
1996-06-13,7.21,USD,anuefund_public
1996-06-14,7.18,USD,anuefund_public
1996-06-17,7.18,USD,anuefund_public
1996-06-18,7.18,USD,anuefund_public
1996-06-19,7.13,USD,anuefund_public
1996-06-20,7.14,USD,anuefund_public
1996-06-21,7.09,USD,anuefund_public
1996-06-24,7.09,USD,anuefund_public
1996-06-25,7.1,USD,anuefund_public
1996-06-26,7.1,USD,anuefund_public
1996-06-27,7.07,USD,anuefund_public
1996-06-28,7.08,USD,anuefund_public
1996-07-01,7.12,USD,anuefund_public
1996-07-02,7.14,USD,anuefund_public
1996-07-03,7.15,USD,anuefund_public
1996-07-04,7.13,USD,anuefund_public
1996-07-05,7.12,USD,anuefund_public
1996-07-08,7.01,USD,anuefund_public
1996-07-09,6.97,USD,anuefund_public
1996-07-10,6.96,USD,anuefund_public
1996-07-11,6.91,USD,anuefund_public
1996-07-12,6.78,USD,anuefund_public
1996-07-15,6.77,USD,anuefund_public
1996-07-16,6.59,USD,anuefund_public
1996-07-17,6.5,USD,anuefund_public
1996-07-18,6.65,USD,anuefund_public
1996-07-19,6.73,USD,anuefund_public
1996-07-22,6.72,USD,anuefund_public
1996-07-23,6.66,USD,anuefund_public
1996-07-24,6.53,USD,anuefund_public
1996-07-25,6.47,USD,anuefund_public
1996-07-26,6.54,USD,anuefund_public
1996-07-29,6.57,USD,anuefund_public
1996-07-30,6.51,USD,anuefund_public
1996-07-31,6.53,USD,anuefund_public
1996-08-01,6.57,USD,anuefund_public
1996-08-02,6.62,USD,anuefund_public
1996-08-05,6.7,USD,anuefund_public
1996-08-06,6.66,USD,anuefund_public
1996-08-07,6.66,USD,anuefund_public
1996-08-08,6.7,USD,anuefund_public
1996-08-09,6.72,USD,anuefund_public
1996-08-12,6.72,USD,anuefund_public
1996-08-13,6.71,USD,anuefund_public
1996-08-14,6.69,USD,anuefund_public
1996-08-15,6.69,USD,anuefund_public
1996-08-16,6.73,USD,anuefund_public
1996-08-19,6.75,USD,anuefund_public
1996-08-20,6.76,USD,anuefund_public
1996-08-21,6.75,USD,anuefund_public
1996-08-22,6.76,USD,anuefund_public
1996-08-23,6.77,USD,anuefund_public
1996-08-26,6.77,USD,anuefund_public
1996-08-27,6.78,USD,anuefund_public
1996-08-28,6.79,USD,anuefund_public
1996-08-29,6.82,USD,anuefund_public
1996-08-30,6.79,USD,anuefund_public
1996-09-02,6.79,USD,anuefund_public
1996-09-03,6.77,USD,anuefund_public
1996-09-04,6.8,USD,anuefund_public
1996-09-05,6.83,USD,anuefund_public
1996-09-06,6.8,USD,anuefund_public
1996-09-09,6.85,USD,anuefund_public
1996-09-10,6.87,USD,anuefund_public
1996-09-11,6.88,USD,anuefund_public
1996-09-12,6.9,USD,anuefund_public
1996-09-13,6.94,USD,anuefund_public
1996-09-16,6.97,USD,anuefund_public
1996-09-17,6.99,USD,anuefund_public
1996-09-18,6.99,USD,anuefund_public
1996-09-19,6.97,USD,anuefund_public
1996-09-20,6.99,USD,anuefund_public
1996-09-23,6.97,USD,anuefund_public
1996-09-24,6.96,USD,anuefund_public
1996-09-25,6.98,USD,anuefund_public
1996-09-26,6.99,USD,anuefund_public
1996-09-27,6.97,USD,anuefund_public
1996-09-30,6.96,USD,anuefund_public
1996-10-01,7.05,USD,anuefund_public
1996-10-02,7.04,USD,anuefund_public
1996-10-03,7.04,USD,anuefund_public
1996-10-04,7.03,USD,anuefund_public
1996-10-07,7.06,USD,anuefund_public
1996-10-08,7.08,USD,anuefund_public
1996-10-09,7.07,USD,anuefund_public
1996-10-10,7.02,USD,anuefund_public
1996-10-11,7.01,USD,anuefund_public
1996-10-14,7.04,USD,anuefund_public
1996-10-15,7.08,USD,anuefund_public
1996-10-16,7.07,USD,anuefund_public
1996-10-17,7.07,USD,anuefund_public
1996-10-18,7.08,USD,anuefund_public
1996-10-21,7.09,USD,anuefund_public
1996-10-22,7.07,USD,anuefund_public
1996-10-23,7.07,USD,anuefund_public
1996-10-24,7.02,USD,anuefund_public
1996-10-25,6.99,USD,anuefund_public
1996-10-28,7,USD,anuefund_public
1996-10-29,7,USD,anuefund_public
1996-10-30,6.99,USD,anuefund_public
1996-10-31,6.98,USD,anuefund_public
1996-11-01,6.98,USD,anuefund_public
1996-11-04,7,USD,anuefund_public
1996-11-05,7.05,USD,anuefund_public
1996-11-06,7.07,USD,anuefund_public
1996-11-07,7.13,USD,anuefund_public
1996-11-08,7.14,USD,anuefund_public
1996-11-11,7.12,USD,anuefund_public
1996-11-12,7.13,USD,anuefund_public
1996-11-13,7.12,USD,anuefund_public
1996-11-14,7.12,USD,anuefund_public
1996-11-15,7.13,USD,anuefund_public
1996-11-18,7.14,USD,anuefund_public
1996-11-19,7.15,USD,anuefund_public
1996-11-20,7.18,USD,anuefund_public
1996-11-21,7.18,USD,anuefund_public
1996-11-22,7.17,USD,anuefund_public
